Series Code,Series Name,Topic,SubTopic1,SubTopic2,SubTopic3
DT.INT.PCBK.CD,"PPG, commercial banks (INT, current US$)",Economic Policy & Debt,External debt,Interest,
DT.INT.PNGB.CD,"PNG, bonds (INT, current US$)",Economic Policy & Debt,External debt,Interest,
DT.INT.PNGC.CD,"PNG, commercial banks and other creditors (INT, current US$)",Economic Policy & Debt,External debt,Interest,
DT.INT.PROP.CD,"PPG, other private creditors (INT, current US$)",Economic Policy & Debt,External debt,Interest,
DT.INT.PRVT.CD,"PPG, private creditors (INT, current US$)",Economic Policy & Debt,External debt,Interest,
DT.IXA.DPPG.CD,"Interest arrears, long-term DOD (US$)",Economic Policy & Debt,External debt,"Arrears, reschedulings, etc.",
DT.IXA.DPPG.CD.CG,Net change in interest arrears (current US$),Economic Policy & Debt,External debt,"Arrears, reschedulings, etc.",
DT.IXA.OFFT.CD,"Interest arrears, official creditors (current US$)",Economic Policy & Debt,External debt,"Arrears, reschedulings, etc.",
DT.IXA.PRVT.CD,"Interest arrears, private creditors (current US$)",Economic Policy & Debt,External debt,"Arrears, reschedulings, etc.",
DT.IXF.DPPG.CD,Interest forgiven (current US$),Economic Policy & Debt,External debt,"Arrears, reschedulings, etc.",
DT.IXR.DPPG.CD,Interest rescheduled (capitalized) (current US$),Economic Policy & Debt,External debt,"Arrears, reschedulings, etc.",
DT.IXR.OFFT.CD,"Interest rescheduled, official (current US$)",Economic Policy & Debt,External debt,"Arrears, reschedulings, etc.",
DT.IXR.PRVT.CD,"Interest rescheduled, private (current US$)",Economic Policy & Debt,External debt,"Arrears, reschedulings, etc.",
DT.MAT.DPPG,Average maturity on new external debt commitments (years),Economic Policy & Debt,External debt,Terms,
DT.MAT.OFFT,"Average maturity on new external debt commitments, official (years)",Economic Policy & Debt,External debt,Terms,
DT.MAT.PRVT,"Average maturity on new external debt commitments, private (years)",Economic Policy & Debt,External debt,Terms,
DT.NFL.BLAT.CD,"Net financial flows, bilateral (NFL, current US$)",Economic Policy & Debt,External debt,Net flows,
DT.NFL.BLTC.CD,"PPG, bilateral concessional (NFL, current US$)",Economic Policy & Debt,External debt,Net flows,
DT.NFL.BOND.CD,"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",Economic Policy & Debt,External debt,Net flows,
DT.NFL.DECT.CD,"Net flows on external debt, total (NFL, current US$)",Economic Policy & Debt,External debt,Net flows,
DT.NFL.DLXF.CD,"Net flows on external debt, long-term (NFL, current US$)",Economic Policy & Debt,External debt,Net flows,
DT.NFL.DPNG.CD,"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",Economic Policy & Debt,External debt,Net flows,
DT.NFL.DPPG.CD,"Net flows on external debt, public and publicly guaranteed (PPG) (NFL, current US$)",Economic Policy & Debt,External debt,Net flows,
DT.NFL.DSTC.CD,"Net flows on external debt, short-term (NFL, current US$)",Economic Policy & Debt,External debt,Net flows,
DT.NFL.FAOG.CD,"Net official flows from UN agencies, FAO (current US$)",Economic Policy & Debt,Official development assistance,,
DT.NFL.IAEA.CD,"Net official flows from UN agencies, IAEA (current US$)",Economic Policy & Debt,Official development assistance,,
DT.NFL.IFAD.CD,"Net official flows from UN agencies, IFAD (current US$)",Economic Policy & Debt,Official development assistance,,
DT.NFL.ILOG.CD,"Net official flows from UN agencies, ILO (current US$)",Economic Policy & Debt,Official development assistance,,
DT.NFL.IMFC.CD,"Net financial flows, IMF concessional (NFL, current US$)",Economic Policy & Debt,External debt,Net flows,
DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",Economic Policy & Debt,External debt,Net flows,
DT.NFL.MIBR.CD,"Net financial flows, IBRD (NFL, current US$)",Economic Policy & Debt,External debt,Net flows,
DT.NFL.MIDA.CD,"Net financial flows, IDA (NFL, current US$)",Economic Policy & Debt,External debt,Net flows,
DT.NFL.MLAT.CD,"Net financial flows, multilateral (NFL, current US$)",Economic Policy & Debt,External debt,Net flows,
DT.NFL.MLTC.CD,"PPG, multilateral concessional (NFL, current US$)",Economic Policy & Debt,External debt,Net flows,
DT.NFL.MOTH.CD,"Net financial flows, others (NFL, current US$)",Economic Policy & Debt,External debt,Net flows,
DT.NFL.NEBR.CD,"EBRD, private nonguaranteed (NFL, current US$)",Economic Policy & Debt,External debt,Net flows,
DT.NFL.NIFC.CD,"IFC, private nonguaranteed (NFL, current US$)",Economic Policy & Debt,External debt,Net flows,
DT.NFL.OFFT.CD,"PPG, official creditors (NFL, current US$)",Economic Policy & Debt,External debt,Net flows,
DT.NFL.PBND.CD,"PPG, bonds (NFL, current US$)",Economic Policy & Debt,External debt,Net flows,
DT.NFL.PCBK.CD,"PPG, commercial banks (NFL, current US$)",Economic Policy & Debt,External debt,Net flows,
DT.NFL.PCBO.CD,"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Economic Policy & Debt,External debt,Net flows,
DT.NFL.PNGB.CD,"PNG, bonds (NFL, current US$)",Economic Policy & Debt,External debt,Net flows,
DT.NFL.PNGC.CD,"PNG, commercial banks and other creditors (NFL, current US$)",Economic Policy & Debt,External debt,Net flows,
DT.NFL.PROP.CD,"PPG, other private creditors (NFL, current US$)",Economic Policy & Debt,External debt,Net flows,
DT.NFL.PRVT.CD,"PPG, private creditors (NFL, current US$)",Economic Policy & Debt,External debt,Net flows,
DT.NFL.RDBC.CD,"Net financial flows, RDB concessional (NFL, current US$)",Economic Policy & Debt,External debt,Net flows,
DT.NFL.RDBN.CD,"Net financial flows, RDB nonconcessional (NFL, current US$)",Economic Policy & Debt,External debt,Net flows,
DT.NFL.UNAI.CD,"Net official flows from UN agencies, UNAIDS (current US$)",Economic Policy & Debt,Official development assistance,,
DT.NFL.UNCF.CD,"Net official flows from UN agencies, UNICEF (current US$)",Economic Policy & Debt,Official development assistance,,
DT.NFL.UNCR.CD,"Net official flows from UN agencies, UNHCR (current US$)",Economic Policy & Debt,Official development assistance,,
DT.NFL.UNDP.CD,"Net official flows from UN agencies, UNDP (current US$)",Economic Policy & Debt,Official development assistance,,
DT.NFL.UNEC.CD,"Net official flows from UN agencies, UNECE (current US$)",Economic Policy & Debt,Official development assistance,,
DT.NFL.UNEP.CD,"Net official flows from UN agencies, UNEP (current US$)",Economic Policy & Debt,Official development assistance,,
DT.NFL.UNFP.CD,"Net official flows from UN agencies, UNFPA (current US$)",Economic Policy & Debt,Official development assistance,,
DT.NFL.UNPB.CD,"Net official flows from UN agencies, UNPBF (current US$)",Economic Policy & Debt,Official development assistance,,
DT.NFL.UNRW.CD,"Net official flows from UN agencies, UNRWA (current US$)",Economic Policy & Debt,Official development assistance,,
DT.NFL.UNTA.CD,"Net official flows from UN agencies, UNTA (current US$)",Economic Policy & Debt,Official development assistance,,
DT.NFL.WFPG.CD,"Net official flows from UN agencies, WFP (current US$)",Economic Policy & Debt,Official development assistance,,
DT.NFL.WHOL.CD,"Net official flows from UN agencies, WHO (current US$)",Economic Policy & Debt,Official development assistance,,
DT.NTR.BLAT.CD,"PPG, bilateral (NTR, current US$)",Economic Policy & Debt,External debt,Net transfers,
DT.NTR.BLTC.CD,"PPG, bilateral concessional (NTR, current US$)",Economic Policy & Debt,External debt,Net transfers,
DT.NTR.DECT.CD,"Net transfers on external debt, total (NTR, current US$)",Economic Policy & Debt,External debt,Net transfers,
DT.NTR.DLXF.CD,"Net transfers on external debt, long-term (NTR, current US$)",Economic Policy & Debt,External debt,Net transfers,
DT.NTR.DPNG.CD,"Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)",Economic Policy & Debt,External debt,Net transfers,
DT.NTR.DPPG.CD,"Net transfers on external debt, public and publicly guaranteed (PPG) (NTR, current US$)",Economic Policy & Debt,External debt,Net transfers,
DT.NTR.MIBR.CD,"PPG, IBRD (NTR, current US$)",Economic Policy & Debt,External debt,Net transfers,
DT.NTR.MIDA.CD,"PPG, IDA (NTR, current US$)",Economic Policy & Debt,External debt,Net transfers,
DT.NTR.MLAT.CD,"PPG, multilateral (NTR, current US$)",Economic Policy & Debt,External debt,Net transfers,
DT.NTR.MLTC.CD,"PPG, multilateral concessional (NTR, current US$)",Economic Policy & Debt,External debt,Net transfers,
DT.NTR.OFFT.CD,"PPG, official creditors (NTR, current US$)",Economic Policy & Debt,External debt,Net transfers,
DT.NTR.PBND.CD,"PPG, bonds (NTR, current US$)",Economic Policy & Debt,External debt,Net transfers,
DT.NTR.PCBK.CD,"PPG, commercial banks (NTR, current US$)",Economic Policy & Debt,External debt,Net transfers,
DT.NTR.PNGB.CD,"PNG, bonds (NTR, current US$)",Economic Policy & Debt,External debt,Net transfers,
DT.NTR.PNGC.CD,"PNG, commercial banks and other creditors (NTR, current US$)",Economic Policy & Debt,External debt,Net transfers,
DT.NTR.PROP.CD,"PPG, other private creditors (NTR, current US$)",Economic Policy & Debt,External debt,Net transfers,
DT.NTR.PRVT.CD,"PPG, private creditors (NTR, current US$)",Economic Policy & Debt,External debt,Net transfers,
DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),Economic Policy & Debt,Official development assistance,,
DT.ODA.ALLD.KD,Net official development assistance and official aid received (constant 2013 US$),Economic Policy & Debt,Official development assistance,,
DT.ODA.OATL.CD,Net official aid received (current US$),Economic Policy & Debt,Official development assistance,,
DT.ODA.OATL.KD,Net official aid received (constant 2014 US$),Economic Policy & Debt,Official development assistance,,
DT.ODA.ODAT.CD,Net official development assistance received (current US$),Economic Policy & Debt,Official development assistance,,
DT.ODA.ODAT.GI.ZS,Net ODA received (% of gross capital formation),Economic Policy & Debt,Official development assistance,,
DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),Economic Policy & Debt,Official development assistance,,
DT.ODA.ODAT.KD,Net official development assistance received (constant 2014 US$),Economic Policy & Debt,Official development assistance,,
DT.ODA.ODAT.MP.ZS,"Net ODA received (% of imports of goods, services and primary income)",Economic Policy & Debt,Official development assistance,,
DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),Economic Policy & Debt,Official development assistance,,
DT.ODA.ODAT.XP.ZS,Net ODA received (% of central government expense),Economic Policy & Debt,Official development assistance,,
DT.TDS.BLAT.CD,"PPG, bilateral (TDS, current US$)",Economic Policy & Debt,External debt,Debt service,
DT.TDS.BLTC.CD,"PPG, bilateral concessional (TDS, current US$)",Economic Policy & Debt,External debt,Debt service,
DT.TDS.DECT.CD,"Debt service on external debt, total (TDS, current US$)",Economic Policy & Debt,External debt,Debt service,
DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and primary income)",Economic Policy & Debt,External debt,Debt ratios & other items,
DT.TDS.DECT.GN.ZS,Total debt service (% of GNI),Economic Policy & Debt,External debt,Debt ratios & other items,
DT.TDS.DIMF.CD,"IMF repurchases and charges (TDS, current US$)",Economic Policy & Debt,External debt,Debt service,
DT.TDS.DLXF.CD,"Debt service on external debt, long-term (TDS, current US$)",Economic Policy & Debt,External debt,Debt service,
DT.TDS.DPNG.CD,"Debt service on external debt, private nonguaranteed (PNG) (TDS, current US$)",Economic Policy & Debt,External debt,Debt service,
DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",Economic Policy & Debt,External debt,Debt ratios & other items,
DT.TDS.DPPG.CD,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",Economic Policy & Debt,External debt,Debt service,
DT.TDS.DPPG.GN.ZS,Public and publicly guaranteed debt service (% of GNI),Economic Policy & Debt,External debt,Debt ratios & other items,
DT.TDS.DPPG.XP.ZS,"Public and publicly guaranteed debt service (% of exports of goods, services and primary income)",Economic Policy & Debt,External debt,Debt ratios & other items,
DT.TDS.MIBR.CD,"PPG, IBRD (TDS, current US$)",Economic Policy & Debt,External debt,Debt service,
DT.TDS.MIDA.CD,"PPG, IDA (TDS, current US$)",Economic Policy & Debt,External debt,Debt service,
DT.TDS.MLAT.CD,"Multilateral debt service (TDS, current US$)",Economic Policy & Debt,External debt,Debt service,
DT.TDS.MLAT.PG.ZS,Multilateral debt service (% of public and publicly guaranteed debt service),Economic Policy & Debt,External debt,Debt ratios & other items,
DT.TDS.MLTC.CD,"PPG, multilateral concessional (TDS, current US$)",Economic Policy & Debt,External debt,Debt service,
DT.TDS.OFFT.CD,"PPG, official creditors (TDS, current US$)",Economic Policy & Debt,External debt,Debt service,
DT.TDS.PBND.CD,"PPG, bonds (TDS, current US$)",Economic Policy & Debt,External debt,Debt service,
DT.TDS.PCBK.CD,"PPG, commercial banks (TDS, current US$)",Economic Policy & Debt,External debt,Debt service,
DT.TDS.PNGB.CD,"PNG, bonds (TDS, current US$)",Economic Policy & Debt,External debt,Debt service,
DT.TDS.PNGC.CD,"PNG, commercial banks and other creditors (TDS, current US$)",Economic Policy & Debt,External debt,Debt service,
DT.TDS.PROP.CD,"PPG, other private creditors (TDS, current US$)",Economic Policy & Debt,External debt,Debt service,
DT.TDS.PRVT.CD,"PPG, private creditors (TDS, current US$)",Economic Policy & Debt,External debt,Debt service,
DT.TXR.DPPG.CD,Total amount of debt rescheduled (current US$),Economic Policy & Debt,External debt,"Arrears, reschedulings, etc.",
DT.UND.DPPG.CD,"Undisbursed external debt, total (UND, current US$)",Economic Policy & Debt,External debt,Undisbursed debt,
DT.UND.OFFT.CD,"Undisbursed external debt, official creditors (UND, current US$)",Economic Policy & Debt,External debt,Undisbursed debt,
DT.UND.PRVT.CD,"Undisbursed external debt, private creditors (UND, current US$)",Economic Policy & Debt,External debt,Undisbursed debt,
EA.PRD.AGRI.KD,Agriculture value added per worker (constant 2010 US$),Environment,Agricultural production,,
EG.CFT.ACCS.ZS,Access to clean fuels and technologies for cooking  (% of population),Environment,Energy production & use,,
EG.EGY.PRIM.PP.KD,Energy intensity level of primary energy (MJ/$2011 PPP GDP),Environment,Energy production & use,,
EG.ELC.ACCS.RU.ZS,"Access to electricity, rural (% of rural population)",Environment,Energy production & use,,
EG.ELC.ACCS.UR.ZS,"Access to electricity, urban (% of urban population)",Environment,Energy production & use,,
EG.ELC.ACCS.ZS,Access to electricity (% of population),Environment,Energy production & use,,
EG.ELC.COAL.ZS,Electricity production from coal sources (% of total),Environment,Energy production & use,,
EG.ELC.FOSL.ZS,"Electricity production from oil, gas and coal sources (% of total)",Environment,Energy production & use,,
EG.ELC.HYRO.ZS,Electricity production from hydroelectric sources (% of total),Environment,Energy production & use,,
EG.ELC.LOSS.ZS,Electric power transmission and distribution losses (% of output),Environment,Energy production & use,,
EG.ELC.NGAS.ZS,Electricity production from natural gas sources (% of total),Environment,Energy production & use,,
EG.ELC.NUCL.ZS,Electricity production from nuclear sources (% of total),Environment,Energy production & use,,
EG.ELC.PETR.ZS,Electricity production from oil sources (% of total),Environment,Energy production & use,,
EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),Environment,Energy production & use,,
EG.ELC.RNWX.KH,"Electricity production from renewable sources, excluding hydroelectric (kWh)",Environment,Energy production & use,,
EG.ELC.RNWX.ZS,"Electricity production from renewable sources, excluding hydroelectric (% of total)",Environment,Energy production & use,,
EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Environment,Energy production & use,,
EG.GDP.PUSE.KO.PP,GDP per unit of energy use (PPP $ per kg of oil equivalent),Environment,Energy production & use,,
EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),Environment,Energy production & use,,
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",Environment,Energy production & use,,
EG.USE.COMM.CL.ZS,Alternative and nuclear energy (% of total energy use),Environment,Energy production & use,,
EG.USE.COMM.FO.ZS,Fossil fuel energy consumption (% of total),Environment,Energy production & use,,
EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",Environment,Energy production & use,,
EG.USE.CRNW.ZS,Combustible renewables and waste (% of total energy),Environment,Energy production & use,,
EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),Environment,Energy production & use,,
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),Environment,Energy production & use,,
EN.ATM.CO2E.EG.ZS,CO2 intensity (kg per kg of oil equivalent energy use),Environment,Emissions,,
EN.ATM.CO2E.GF.KT,CO2 emissions from gaseous fuel consumption (kt),Environment,Emissions,,
EN.ATM.CO2E.GF.ZS,CO2 emissions from gaseous fuel consumption (% of total),Environment,Emissions,,
EN.ATM.CO2E.KD.GD,CO2 emissions (kg per 2010 US$ of GDP),Environment,Emissions,,
EN.ATM.CO2E.KT,CO2 emissions (kt),Environment,Emissions,,
EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),Environment,Emissions,,
EN.ATM.CO2E.LF.ZS,CO2 emissions from liquid fuel consumption (% of total),Environment,Emissions,,
EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),Environment,Emissions,,
EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),Environment,Emissions,,
EN.ATM.CO2E.PP.GD.KD,CO2 emissions (kg per 2017 PPP $ of GDP),Environment,Emissions,,
EN.ATM.CO2E.SF.KT,CO2 emissions from solid fuel consumption (kt),Environment,Emissions,,
EN.ATM.CO2E.SF.ZS,CO2 emissions from solid fuel consumption (% of total),Environment,Emissions,,
EN.ATM.GHGO.KT.CE,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",Environment,Emissions,,
EN.ATM.GHGO.ZG,Other greenhouse gas emissions (% change from 1990),Environment,Emissions,,
EN.ATM.GHGT.KT.CE,Total greenhouse gas emissions (kt of CO2 equivalent),Environment,Emissions,,
EN.ATM.GHGT.ZG,Total greenhouse gas emissions (% change from 1990),Environment,Emissions,,
EN.ATM.HFCG.KT.CE,HFC gas emissions (thousand metric tons of CO2 equivalent),Environment,Emissions,,
EN.ATM.METH.AG.KT.CE,Agricultural methane emissions (thousand metric tons of CO2 equivalent),Environment,Emissions,,
EN.ATM.METH.AG.ZS,Agricultural methane emissions (% of total),Environment,Emissions,,
EN.ATM.METH.EG.KT.CE,Methane emissions in energy sector (thousand metric tons of CO2 equivalent),Environment,Emissions,,
EN.ATM.METH.EG.ZS,Energy related methane emissions (% of total),Environment,Emissions,,
EN.ATM.METH.KT.CE,Methane emissions (kt of CO2 equivalent),Environment,Emissions,,
EN.ATM.METH.ZG,Methane emissions (% change from 1990),Environment,Emissions,,
EN.ATM.NOXE.AG.KT.CE,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),Environment,Emissions,,
EN.ATM.NOXE.AG.ZS,Agricultural nitrous oxide emissions (% of total),Environment,Emissions,,
EN.ATM.NOXE.EG.KT.CE,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),Environment,Emissions,,
EN.ATM.NOXE.EG.ZS,Nitrous oxide emissions in energy sector (% of total),Environment,Emissions,,
EN.ATM.NOXE.KT.CE,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),Environment,Emissions,,
EN.ATM.NOXE.ZG,Nitrous oxide emissions (% change from 1990),Environment,Emissions,,
EN.ATM.PFCG.KT.CE,PFC gas emissions (thousand metric tons of CO2 equivalent),Environment,Emissions,,
EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Environment,Emissions,,
EN.ATM.PM25.MC.ZS,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",Environment,Emissions,,
EN.ATM.SF6G.KT.CE,SF6 gas emissions (thousand metric tons of CO2 equivalent),Environment,Emissions,,
EN.BIR.THRD.NO,"Bird species, threatened",Environment,Biodiversity & protected areas,,
EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale; 5=best),Environment,Land use,,
EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (Mt of CO2 equivalent),Environment,Emissions,,
EN.CLC.MDAT.ZS,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",Environment,Land use,,
EN.CO2.BLDG.ZS,CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),Environment,Emissions,,
EN.CO2.ETOT.ZS,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",Environment,Emissions,,
EN.CO2.MANF.ZS,CO2 emissions from manufacturing industries and construction (% of total fuel combustion),Environment,Emissions,,
EN.CO2.OTHX.ZS,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",Environment,Emissions,,
EN.CO2.TRAN.ZS,CO2 emissions from transport (% of total fuel combustion),Environment,Emissions,,
EN.FSH.THRD.NO,"Fish species, threatened",Environment,Biodiversity & protected areas,,
EN.HPT.THRD.NO,"Plant species (higher), threatened",Environment,Biodiversity & protected areas,,
EN.MAM.THRD.NO,"Mammal species, threatened",Environment,Biodiversity & protected areas,,
EN.POP.DNST,Population density (people per sq. km of land area),Environment,Density & urbanization,,
EN.POP.EL5M.RU.ZS,Rural population living in areas where elevation is below 5 meters (% of total population),Environment,Land use,,
EN.POP.EL5M.UR.ZS,Urban population living in areas where elevation is below 5 meters (% of total population),Environment,Land use,,
EN.POP.EL5M.ZS,Population living in areas where elevation is below 5 meters (% of total population),Environment,Land use,,
EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),Environment,Density & urbanization,,
EN.URB.LCTY,Population in largest city,Environment,Density & urbanization,,
EN.URB.LCTY.UR.ZS,Population in the largest city (% of urban population),Environment,Density & urbanization,,
EN.URB.MCTY,Population in urban agglomerations of more than 1 million,Environment,Density & urbanization,,
EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),Environment,Density & urbanization,,
EP.PMP.DESL.CD,Pump price for diesel fuel (US$ per liter),Infrastructure,Transportation,,
EP.PMP.SGAS.CD,Pump price for gasoline (US$ per liter),Infrastructure,Transportation,,
ER.FSH.AQUA.MT,Aquaculture production (metric tons),Environment,Agricultural production,,
ER.FSH.CAPT.MT,Capture fisheries production (metric tons),Environment,Agricultural production,,
ER.FSH.PROD.MT,Total fisheries production (metric tons),Environment,Agricultural production,,
ER.GDP.FWTL.M3.KD,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",Environment,Freshwater,,
ER.H2O.FWAG.ZS,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",Environment,Freshwater,,
ER.H2O.FWDM.ZS,"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",Environment,Freshwater,,
ER.H2O.FWIN.ZS,"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",Environment,Freshwater,,
ER.H2O.FWTL.K3,"Annual freshwater withdrawals, total (billion cubic meters)",Environment,Freshwater,,
ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",Environment,Freshwater,,
ER.H2O.INTR.K3,"Renewable internal freshwater resources, total (billion cubic meters)",Environment,Freshwater,,
ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),Environment,Freshwater,,
ER.LND.PTLD.ZS,Terrestrial protected areas (% of total land area),Environment,Biodiversity & protected areas,,
ER.MRN.PTMR.ZS,Marine protected areas (% of territorial waters),Environment,Biodiversity & protected areas,,
ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area),Environment,Biodiversity & protected areas,,
FB.AST.NPER.ZS,Bank nonperforming loans to total gross loans (%),Financial Sector,Assets,,
FB.ATM.TOTL.P5,"Automated teller machines (ATMs) (per 100,000 adults)",Financial Sector,Access,,
FB.BNK.CAPA.ZS,Bank capital to assets ratio (%),Financial Sector,Assets,,
FB.CBK.BRCH.P5,"Commercial bank branches (per 100,000 adults)",Financial Sector,Access,,
FB.CBK.BRWR.P3,"Borrowers from commercial banks (per 1,000 adults)",Financial Sector,Access,,
FB.CBK.DPTR.P3,"Depositors with commercial banks (per 1,000 adults)",Financial Sector,Access,,
FB.POS.TOTL.P5,"Point-of-sale terminals (per 100,000 adults)",Financial Sector,Access,,
FD.AST.PRVT.GD.ZS,Domestic credit to private sector by banks (% of GDP),Financial Sector,Assets,,
FD.RES.LIQU.AS.ZS,Bank liquid reserves to bank assets ratio (%),Financial Sector,Assets,,
FI.RES.TOTL.CD,"Total reserves (includes gold, current US$)",Economic Policy & Debt,Balance of payments,Reserves & other items,
FI.RES.TOTL.DT.ZS,Total reserves (% of total external debt),Economic Policy & Debt,Balance of payments,Reserves & other items,
FI.RES.TOTL.MO,Total reserves in months of imports,Economic Policy & Debt,Balance of payments,Reserves & other items,
FI.RES.XGLD.CD,Total reserves minus gold (current US$),Economic Policy & Debt,Balance of payments,Reserves & other items,
FM.AST.CGOV.ZG.M3,Claims on central government (annual growth as % of broad money),Financial Sector,Assets,,
FM.AST.DOMO.ZG.M3,Claims on other sectors of the domestic economy (annual growth as % of broad money),Financial Sector,Assets,,
FM.AST.DOMS.CN,Net domestic credit (current LCU),Financial Sector,Assets,,
FM.AST.NFRG.CN,Net foreign assets (current LCU),Financial Sector,Assets,,
FM.AST.PRVT.ZG.M3,Claims on private sector (annual growth as % of broad money),Financial Sector,Assets,,
FM.LBL.BMNY.CN,Broad money (current LCU),Financial Sector,Monetary holdings (liabilities),,
FM.LBL.BMNY.GD.ZS,Broad money (% of GDP),Financial Sector,Monetary holdings (liabilities),,
FM.LBL.BMNY.IR.ZS,Broad money to total reserves ratio,Financial Sector,Monetary holdings (liabilities),,
FM.LBL.BMNY.ZG,Broad money growth (annual %),Financial Sector,Monetary holdings (liabilities),,
FP.CPI.TOTL,Consumer price index (2010 = 100),Financial Sector,Exchange rates & prices,,
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Financial Sector,Exchange rates & prices,,
FP.WPI.TOTL,Wholesale price index (2010 = 100),Financial Sector,Exchange rates & prices,,
FR.INR.DPST,Deposit interest rate (%),Financial Sector,Interest rates,,
FR.INR.LEND,Lending interest rate (%),Financial Sector,Interest rates,,
FR.INR.LNDP,"Interest rate spread (lending rate minus deposit rate, %)",Financial Sector,Interest rates,,
FR.INR.RINR,Real interest rate (%),Financial Sector,Interest rates,,
FR.INR.RISK,"Risk premium on lending (lending rate minus treasury bill rate, %)",Financial Sector,Interest rates,,
FS.AST.CGOV.GD.ZS,"Claims on central government, etc. (% GDP)",Financial Sector,Assets,,
FS.AST.DOMO.GD.ZS,Claims on other sectors of the domestic economy (% of GDP),Financial Sector,Assets,,
FS.AST.DOMS.GD.ZS,Domestic credit provided by financial sector (% of GDP),Financial Sector,Assets,,
FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP),Financial Sector,Assets,,
GB.XPD.RSDV.GD.ZS,Research and development expenditure (% of GDP),Infrastructure,Technology,,
GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU),Public Sector,Government finance,Deficit & financing,
GC.AST.TOTL.GD.ZS,Net acquisition of financial assets (% of GDP),Public Sector,Government finance,Deficit & financing,
GC.DOD.TOTL.CN,"Central government debt, total (current LCU)",Public Sector,Government finance,Deficit & financing,
GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",Public Sector,Government finance,Deficit & financing,
GC.LBL.TOTL.CN,"Net incurrence of liabilities, total (current LCU)",Public Sector,Government finance,Deficit & financing,
GC.LBL.TOTL.GD.ZS,"Net incurrence of liabilities, total (% of GDP)",Public Sector,Government finance,Deficit & financing,
GC.NFN.TOTL.CN,Net investment in nonfinancial assets (current LCU),Public Sector,Government finance,Deficit & financing,
GC.NFN.TOTL.GD.ZS,Net investment in nonfinancial assets (% of GDP),Public Sector,Government finance,Deficit & financing,
GC.NLD.TOTL.CN,Net lending (+) / net borrowing (-) (current LCU),Public Sector,Government finance,Deficit & financing,
GC.NLD.TOTL.GD.ZS,Net lending (+) / net borrowing (-) (% of GDP),Public Sector,Government finance,Deficit & financing,
GC.REV.GOTR.CN,Grants and other revenue (current LCU),Public Sector,Government finance,Revenue,
